,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1500,1,Eclipse 🌖
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,2,Fenernazçe 💙💛
2,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1378,3,Follow?
3,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1303,4,<c0>ＬＯＮＥＬＹ★</c>
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,5,Eclipse 🌖
5,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1252,6,
6,#9U0G8JPU2,mir,0xfff9775d,28000232,1252,7,Talents
7,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1251,8,CONEXIÓN
8,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1251,9,LA Instinct
9,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1251,10,
10,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,11,Showdown💔Kings
11,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,12,Tribe Turkey
12,#VYGVV08Q,🍅domates,0xffffffff,28000261,1251,13,
13,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,14,help ranks
14,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,15,HolyGuns
15,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,16,STMN Esports
16,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1249,17,めろんぱん食堂
17,#9VU9R2LY,Terry!,0xffffffff,28000081,1249,18,✌️✌️✌️
18,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1249,19,Blue Label
19,#R2LR2QLG,NOUN | Mohtep,0xffffffff,28000243,1249,20,A Few Good Men
20,#RC8GU2G,Ascend-.-,0xffcb5aff,28000014,1249,21,Havoc Echo
21,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1249,22,
22,#2JURUJG29,🀄|Đavid™️,0xffff9727,28000234,1249,23,Tribe Israel
23,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1249,24,<c0>ＬＯＮＥＬＹ★</c>
24,#GRRGLVVJV,Bleaff🍁,0xffff8afb,28000321,1230,25,
25,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1219,26,Quant ESports🐾
26,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1205,27,No Mercy
27,#LRLGLP9GJ,『weakness🌪』,0xffff8afb,28000256,1204,28,Revaible 💗
28,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1202,29,Humble Grinders
29,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1201,30,UNDERDOG 🇵🇱
30,#UYUUQQ8Q,대왕❦(光),0xffcb5aff,28000115,1200,31,<c1>BBOBBY</c>
31,#PGY9ULY,PollitoMan,0xffffffff,28000348,1199,32,7 Dwarves
32,#2PU8G0UJR,么A̷𝖗𝖈𝖏𝟕☘,0xff1ba5f5,28000322,1199,33,The Revengers
33,#P99QGPLU2,Davex,0xffffce89,28000129,1199,34,Brawl King's
34,#29L028GQL,Djahsta,0xffff9727,28000306,1199,35,BC*|Family*
35,#20P2GP99,Ducky🐝,0xffa8e132,28000136,1199,36,NA Friends
36,#QL9G8JR8C,KY,0xfff9c908,28000267,1199,37,<c5>ぽんみちょった</c>
37,#GRVL8ULV,陰|SuperLab ☯︎,0xff1ba5f5,28000141,1199,38,7 Dwarves
38,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,39,BOBR gaming
39,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1199,40,A Few Good Men
40,#GCV8YCVL,🌨️•Killer•恆,0xfff9c908,28000347,1199,41,Chapulines 🦗
41,#GVQUYG90,Shattered ⟡,0xffffffff,28000000,1191,42,7 Dwarves
42,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1188,43,Vitality
43,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1187,44,My social media
44,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1185,45,7 Dwarves
45,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1168,46,IMMORTAL SOULS
46,#2P088J29C,Matt,0xffff8afb,28000333,1159,47,<c5>Just Us</c>
47,#VCPJQQ,Jealous🤍Y,0xffffce89,28000196,1158,48,люблю даню<3💓
48,#PLQ0QRVQL,FMG | Flashᴷⁱⁿᴳ,0xffffffff,28000139,1158,49,ZETA|DIVISION'S
49,#809ULJU2,KLIMtm,0xffffffff,28000151,1153,50,take a break.
50,#V2Q080UU,Valembeau💜,0xffcb5aff,28000035,1153,51,A Few Clown Men
51,#GRCYVRJG,Edgar🤍æ,0xffff9727,28000176,1153,52,7 Dwarves
52,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1152,53,You and me 💜
53,#8Y98Q8U,CR | Sitetampo,0xffff8afb,28000014,1149,54,A Few Good Men
54,#GL8G898VC,~ahmaa💘,0xff1ba5f5,28000000,1149,55,I love you so🤍
55,#J99YU9QY,KuruNero🐬,0xff1ba5f5,28000264,1149,56,Cipher Pol
56,#8JU9GVVJJ,Marko Pintarič,0xff1ba5f5,28000140,1149,57,100k
57,#2VLVPGQYQ,KAIRON,0xffffffff,28000010,1149,58,Watch This
58,#2L80JP00L,Hillen,0xffff8afb,28000335,1149,59,Ex0tic-E-Sport
59,#98VPYCJQP,사랑⋆Caleb🍵,0xff1ba5f5,28000018,1149,60,Tribe Gaming NA
60,#2Q028GQQP,MTM | Zeus,0xfff9c908,28000018,1145,61,NA Friends
61,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1144,62,Beyond Swift
62,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1135,63,No Mercy
63,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1133,64,<c5>Just Us</c>
64,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1118,65,ChillOG
65,#8LYQPLP29,🖤MKZ🖤,0xffffffff,28000032,1116,66,ᴅᴀɪʟʏ
66,#GJR0Q9099,Ed1l𝕨𝕖𝕚𝕤𝕤,0xffcb5aff,28000352,1114,67,
67,#JGUYRYQ,Nathan🩵,0xffff8afb,28000041,1110,68,NA Friends
68,#P0GCYJY20,ＮＴ| ᴹᵃʲᵒʳ❃,0xffcb5aff,28000198,1105,69,HolyPower
69,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1105,70,7 Dwarves
70,#9YY2UU09,𝓐𝓼𝓱𝔀𝓲𝓷𝓼,0xff4ddba2,28000263,1105,71,Celestyn
71,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1105,72,Quant ESports🐾
72,#YRJUL0GG,BOH|Wolf❤️Diego,0xff4ddba2,28000349,1105,73,Unión Soviética
73,#YPGUYYLJ,Mad Gamer,0xffffce89,28000347,1104,74,BC*|Family*
74,#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1104,75,vMoove
75,#8YQV9UPRL,AvalSElguu🌫️,0xffffffff,28000331,1104,76,MEGATROLL
76,#2RL8LGV9Q,🐼iBearQu❦︎,0xfff05637,28000352,1104,77,High Quality
77,#209G0UUGY,Ylli🐬,0xffff8afb,28000321,1104,78,Tribe Gaming NA
78,#P8RQ90UY9,FMG | Vitorᴷⁱⁿᴳ,0xffffce89,28000349,1104,79,Ex0tic-E-Sport
